proponent_agency,project_location,project_type,area_hectare,submission_date,approval_date,approval_status,eds_count,environmental_risk_score
Durg Construction Pvt Ltd,Ambikapur,Sand Mining,13.15,2024-04-29,,MoM Generated,0,0.75
Bastar Natural Resources,Ambikapur,Limestone Quarry,10.3,2023-02-26,,EDS,1,0.48
EcoBuild Developers,Korba,Industrial Plant,9.11,2023-04-04,,MoM Generated,3,0.26
Central India Mining Co,Rajnandgaon,Industrial Plant,12.6,2024-06-27,,Referred,1,0.53
Sunrise Quarry Co,Korba,Limestone Quarry,3.53,2023-06-04,,MoM Generated,1,0.45
Green Earth Infrastructure,Bilaspur,Sand Mining,9.27,2024-08-11,,Rejected,2,0.26
EcoBuild Developers,Raigarh,Brick Kiln,2.15,2024-04-30,,Under Scrutiny,3,0.55
Mahanadi Sand Works,Durg,Brick Kiln,12.55,2023-08-30,,Under Scrutiny,1,0.35
Chhattisgarh Infra Group,Kanker,Industrial Plant,14.15,2023-11-07,,Under Scrutiny,0,0.18
ABC Mining Ltd,Rajnandgaon,Sand Mining,3.93,2023-02-17,,EDS,1,0.69
EcoBuild Developers,Raipur,Infrastructure,9.49,2024-04-17,,EDS,2,0.82
Central India Mining Co,Durg,Infrastructure,9.33,2023-07-01,,Under Scrutiny,2,0.86
Central India Mining Co,Durg,Infrastructure,9.98,2023-02-17,,Under Scrutiny,3,0.46
Central India Mining Co,Ambikapur,Limestone Quarry,1.34,2024-06-14,,Referred,0,0.1
Shakti Infra Projects,Korba,Industrial Plant,2.77,2024-01-14,,Rejected,3,0.54
Shakti Infra Projects,Rajnandgaon,Infrastructure,3.8,2024-03-20,,MoM Generated,3,0.51
EcoBuild Developers,Kanker,Brick Kiln,13.68,2023-12-20,2024-01-14,Approved,3,0.38
Shakti Infra Projects,Raipur,Industrial Plant,12.82,2023-07-02,,Rejected,1,0.54
Riverbed Minerals Pvt,Jagdalpur,Infrastructure,5.71,2024-04-03,,EDS,2,0.42
Shakti Infra Projects,Bilaspur,Industrial Plant,14.74,2023-06-06,,Referred,2,0.82
Central India Mining Co,Bilaspur,Limestone Quarry,5.9,2023-02-22,,Referred,0,0.59
Shiv Brick Industries,Durg,Brick Kiln,1.17,2024-09-29,,Rejected,3,0.43
Chhattisgarh Infra Group,Korba,Limestone Quarry,10.67,2024-05-21,,Rejected,3,0.33
ABC Mining Ltd,Bilaspur,Brick Kiln,5.13,2023-06-12,2023-09-26,Approved,1,0.87
Shiv Brick Industries,Rajnandgaon,Limestone Quarry,5.68,2023-06-21,,Referred,2,0.22
Bastar Natural Resources,Raipur,Industrial Plant,11.97,2024-05-04,,Referred,3,0.8
Korba Limestone Corp,Durg,Brick Kiln,5.7,2023-07-17,,MoM Generated,3,0.14
Central India Mining Co,Korba,Limestone Quarry,5.21,2024-05-25,2024-09-21,Approved,3,0.61
Riverbed Minerals Pvt,Ambikapur,Sand Mining,11.35,2023-08-21,,EDS,1,0.27
Raigarh Aggregates,Bilaspur,Sand Mining,5.21,2023-10-03,,Rejected,1,0.6
ABC Mining Ltd,Durg,Brick Kiln,3.08,2024-02-11,,EDS,1,0.18
Shakti Infra Projects,Raigarh,Industrial Plant,3.64,2024-05-22,,Rejected,1,0.36
Shiv Brick Industries,Korba,Brick Kiln,6.79,2023-01-29,,MoM Generated,3,0.55
Riverbed Minerals Pvt,Kanker,Industrial Plant,2.85,2024-05-23,2024-08-20,Approved,2,0.61
Raigarh Aggregates,Jagdalpur,Brick Kiln,4.99,2023-04-23,,Referred,3,0.86
ABC Mining Ltd,Jagdalpur,Sand Mining,9.28,2024-05-31,,Under Scrutiny,2,0.29
EcoStone Extractors,Jagdalpur,Sand Mining,10.56,2024-11-25,2025-01-16,Approved,3,0.63
Chhattisgarh Infra Group,Rajnandgaon,Limestone Quarry,4.71,2024-10-05,,EDS,3,0.18
Durg Construction Pvt Ltd,Jagdalpur,Brick Kiln,2.45,2024-03-29,,Under Scrutiny,2,0.18
Sunrise Quarry Co,Korba,Industrial Plant,9.05,2024-01-06,2024-04-13,Approved,3,0.75
Riverbed Minerals Pvt,Rajnandgaon,Sand Mining,9.25,2024-11-11,,MoM Generated,2,0.46
Shiv Brick Industries,Bilaspur,Brick Kiln,3.48,2023-04-04,,Under Scrutiny,0,0.24
Shakti Infra Projects,Jagdalpur,Brick Kiln,12.8,2024-11-17,,Referred,0,0.72
ABC Mining Ltd,Korba,Industrial Plant,14.75,2023-11-01,,EDS,2,0.21
Bastar Natural Resources,Kanker,Brick Kiln,6.64,2023-11-28,,Rejected,0,0.25
Shiv Brick Industries,Kanker,Infrastructure,6.4,2023-04-01,2023-05-15,Approved,0,0.71
Central India Mining Co,Ambikapur,Sand Mining,6.23,2023-07-17,,Under Scrutiny,0,0.54
Green Earth Infrastructure,Korba,Sand Mining,7.34,2024-06-01,,EDS,2,0.72
Green Earth Infrastructure,Ambikapur,Industrial Plant,14.13,2024-01-30,,EDS,2,0.41
Chhattisgarh Infra Group,Ambikapur,Brick Kiln,5.05,2023-04-17,2023-07-23,Approved,0,0.57
Shiv Brick Industries,Raipur,Industrial Plant,2.42,2024-09-09,,EDS,0,0.28
ABC Mining Ltd,Rajnandgaon,Limestone Quarry,14.46,2023-03-05,,EDS,1,0.3
Raigarh Aggregates,Korba,Brick Kiln,8.92,2024-10-09,2024-11-06,Approved,1,0.19
Sunrise Quarry Co,Korba,Sand Mining,8.29,2023-11-12,,Rejected,0,0.38
Bastar Natural Resources,Korba,Industrial Plant,2.72,2023-11-07,,Referred,1,0.51
EcoBuild Developers,Jagdalpur,Sand Mining,12.74,2024-09-19,2024-11-20,Approved,2,0.34
EcoStone Extractors,Korba,Infrastructure,5.18,2023-12-20,,Referred,3,0.83
Durg Construction Pvt Ltd,Kanker,Industrial Plant,10.99,2024-04-11,,Under Scrutiny,2,0.19
Shiv Brick Industries,Jagdalpur,Industrial Plant,8.01,2024-01-02,,Under Scrutiny,1,0.32
Riverbed Minerals Pvt,Kanker,Industrial Plant,8.24,2023-06-01,2023-09-16,Approved,0,0.59
Shiv Brick Industries,Jagdalpur,Industrial Plant,9.7,2023-06-24,,EDS,0,0.27
Chhattisgarh Infra Group,Bilaspur,Limestone Quarry,1.68,2023-02-08,,MoM Generated,1,0.67
Shiv Brick Industries,Bilaspur,Industrial Plant,4.97,2023-07-21,,EDS,0,0.34
Korba Limestone Corp,Korba,Brick Kiln,3.66,2024-06-06,2024-07-13,Approved,2,0.36
Riverbed Minerals Pvt,Korba,Limestone Quarry,11.93,2023-02-02,,MoM Generated,3,0.7
Durg Construction Pvt Ltd,Korba,Sand Mining,8.06,2023-05-24,,MoM Generated,3,0.48
Bastar Natural Resources,Kanker,Sand Mining,12.87,2024-07-10,,Under Scrutiny,2,0.49
Central India Mining Co,Ambikapur,Industrial Plant,5.93,2024-08-13,2024-12-04,Approved,1,0.78
Green Earth Infrastructure,Jagdalpur,Infrastructure,1.12,2023-06-10,,Under Scrutiny,2,0.69
Durg Construction Pvt Ltd,Bilaspur,Limestone Quarry,11.74,2024-07-07,,Rejected,2,0.54
Korba Limestone Corp,Korba,Infrastructure,14.86,2024-03-27,,MoM Generated,2,0.44
Chhattisgarh Infra Group,Durg,Infrastructure,6.51,2023-04-04,2023-06-21,Approved,2,0.42
Chhattisgarh Infra Group,Durg,Infrastructure,11.91,2023-08-21,,MoM Generated,2,0.19
Bastar Natural Resources,Jagdalpur,Limestone Quarry,8.65,2024-07-01,,EDS,3,0.73
EcoBuild Developers,Raigarh,Sand Mining,4.1,2023-10-28,,Under Scrutiny,0,0.56
Durg Construction Pvt Ltd,Durg,Infrastructure,10.63,2023-03-12,,Referred,2,0.63
Shiv Brick Industries,Kanker,Industrial Plant,3.11,2023-07-09,,Under Scrutiny,1,0.76
Shiv Brick Industries,Ambikapur,Sand Mining,12.06,2023-01-02,,EDS,0,0.81
EcoStone Extractors,Durg,Infrastructure,11.17,2024-11-16,,EDS,1,0.63
EcoBuild Developers,Korba,Infrastructure,4.9,2024-02-02,,MoM Generated,2,0.78
ABC Mining Ltd,Korba,Limestone Quarry,4.72,2023-09-14,2023-12-08,Approved,3,0.13
Riverbed Minerals Pvt,Ambikapur,Sand Mining,1.83,2023-12-19,,Rejected,0,0.82
Shakti Infra Projects,Rajnandgaon,Limestone Quarry,6.03,2024-10-26,,MoM Generated,2,0.68
Durg Construction Pvt Ltd,Raigarh,Sand Mining,5.74,2024-11-24,,Referred,1,0.38
Central India Mining Co,Raipur,Brick Kiln,3.16,2024-08-13,,Rejected,3,0.87
Korba Limestone Corp,Ambikapur,Infrastructure,3.26,2024-10-08,,Referred,2,0.87
Korba Limestone Corp,Ambikapur,Brick Kiln,2.91,2024-06-22,,Under Scrutiny,2,0.25
Sunrise Quarry Co,Bilaspur,Limestone Quarry,7.5,2023-12-13,,EDS,1,0.75
Durg Construction Pvt Ltd,Kanker,Limestone Quarry,5.9,2024-08-16,,MoM Generated,2,0.87
Raigarh Aggregates,Ambikapur,Sand Mining,2.06,2023-02-28,,Rejected,1,0.53
Chhattisgarh Infra Group,Raipur,Infrastructure,3.11,2024-10-25,,Rejected,0,0.28
Green Earth Infrastructure,Ambikapur,Limestone Quarry,4.76,2024-01-05,,Referred,0,0.3
Mahanadi Sand Works,Rajnandgaon,Limestone Quarry,4.41,2024-11-19,,Rejected,2,0.8
Green Earth Infrastructure,Kanker,Limestone Quarry,9.52,2024-02-11,,Under Scrutiny,1,0.12
Raigarh Aggregates,Jagdalpur,Infrastructure,2.17,2023-08-13,,MoM Generated,0,0.34
Korba Limestone Corp,Korba,Brick Kiln,13.41,2024-03-20,,MoM Generated,3,0.55
Shakti Infra Projects,Kanker,Infrastructure,12.27,2024-05-10,2024-08-27,Approved,0,0.43
Mahanadi Sand Works,Ambikapur,Limestone Quarry,7.37,2023-10-02,,EDS,0,0.54
Durg Construction Pvt Ltd,Rajnandgaon,Infrastructure,9.05,2024-11-05,,EDS,3,0.77
Mahanadi Sand Works,Jagdalpur,Limestone Quarry,14.75,2023-04-09,2023-07-04,Approved,0,0.31
Riverbed Minerals Pvt,Rajnandgaon,Limestone Quarry,13.14,2024-08-11,,MoM Generated,0,0.11
Mahanadi Sand Works,Durg,Infrastructure,7.5,2023-04-04,,Under Scrutiny,3,0.34
Chhattisgarh Infra Group,Bilaspur,Sand Mining,8.04,2023-09-07,,EDS,0,0.4
EcoBuild Developers,Kanker,Brick Kiln,9.98,2023-07-03,2023-09-26,Approved,3,0.83
EcoBuild Developers,Rajnandgaon,Brick Kiln,10.88,2023-06-03,2023-08-01,Approved,2,0.32
Chhattisgarh Infra Group,Raigarh,Industrial Plant,9.96,2023-09-06,,Under Scrutiny,0,0.32
EcoBuild Developers,Rajnandgaon,Brick Kiln,10.67,2023-10-31,,Rejected,0,0.4
Sunrise Quarry Co,Kanker,Limestone Quarry,5.09,2023-02-05,,Rejected,0,0.48
ABC Mining Ltd,Raipur,Infrastructure,8.52,2024-08-20,2024-10-12,Approved,3,0.18
Durg Construction Pvt Ltd,Raigarh,Sand Mining,2.44,2023-04-12,,MoM Generated,1,0.38
Chhattisgarh Infra Group,Kanker,Sand Mining,4.29,2024-01-16,,MoM Generated,1,0.37
Central India Mining Co,Durg,Sand Mining,4.63,2023-01-14,,Referred,2,0.36
EcoBuild Developers,Raigarh,Sand Mining,7.35,2023-06-14,,EDS,1,0.32
Mahanadi Sand Works,Ambikapur,Brick Kiln,14.57,2024-11-28,2025-02-07,Approved,1,0.82
Mahanadi Sand Works,Raipur,Brick Kiln,8.21,2024-08-06,,Under Scrutiny,3,0.58
Mahanadi Sand Works,Rajnandgaon,Infrastructure,1.52,2023-10-26,,Rejected,0,0.45
Korba Limestone Corp,Raigarh,Industrial Plant,2.54,2024-03-24,,MoM Generated,0,0.49
Bastar Natural Resources,Bilaspur,Infrastructure,14.13,2023-05-17,,Referred,3,0.89
Central India Mining Co,Jagdalpur,Sand Mining,9.9,2024-02-28,,MoM Generated,1,0.72
Chhattisgarh Infra Group,Ambikapur,Limestone Quarry,14.87,2024-07-14,,Referred,1,0.22
Shakti Infra Projects,Kanker,Limestone Quarry,11.92,2023-12-09,,EDS,2,0.62
Bastar Natural Resources,Bilaspur,Infrastructure,11.06,2023-11-04,,Referred,1,0.72
Durg Construction Pvt Ltd,Bilaspur,Infrastructure,1.88,2024-07-18,,Under Scrutiny,0,0.42
Green Earth Infrastructure,Raigarh,Brick Kiln,8.74,2023-03-17,,Referred,2,0.11
Durg Construction Pvt Ltd,Jagdalpur,Industrial Plant,12.65,2023-09-09,,Rejected,3,0.51
Central India Mining Co,Kanker,Sand Mining,5.13,2023-10-04,,Under Scrutiny,3,0.76
Korba Limestone Corp,Ambikapur,Industrial Plant,14.72,2023-08-27,,EDS,0,0.37
Central India Mining Co,Bilaspur,Brick Kiln,9.63,2023-10-03,,Referred,2,0.11
Central India Mining Co,Rajnandgaon,Industrial Plant,8.29,2024-04-11,,Referred,3,0.45
Chhattisgarh Infra Group,Rajnandgaon,Sand Mining,6.86,2023-09-27,,EDS,0,0.59
Shiv Brick Industries,Raipur,Limestone Quarry,6.02,2023-05-12,,Referred,0,0.36
Mahanadi Sand Works,Korba,Limestone Quarry,1.65,2023-10-15,,Referred,2,0.85
Sunrise Quarry Co,Jagdalpur,Brick Kiln,5.07,2023-01-11,2023-04-27,Approved,1,0.55
EcoStone Extractors,Korba,Limestone Quarry,4.97,2024-08-16,,Referred,0,0.58
EcoStone Extractors,Rajnandgaon,Limestone Quarry,14.93,2023-06-12,2023-07-30,Approved,3,0.54
Sunrise Quarry Co,Ambikapur,Brick Kiln,11.63,2024-04-05,,Referred,2,0.24
Chhattisgarh Infra Group,Durg,Brick Kiln,9.84,2023-08-29,,Referred,1,0.31
Chhattisgarh Infra Group,Durg,Infrastructure,10.97,2023-10-08,,Referred,0,0.13
Riverbed Minerals Pvt,Raigarh,Sand Mining,1.53,2024-03-17,,EDS,1,0.15
Shiv Brick Industries,Jagdalpur,Limestone Quarry,7.61,2023-10-14,,Rejected,2,0.46
Bastar Natural Resources,Raipur,Industrial Plant,5.64,2023-01-03,,Rejected,0,0.41
Shakti Infra Projects,Bilaspur,Industrial Plant,1.57,2023-11-22,,EDS,3,0.25
Korba Limestone Corp,Rajnandgaon,Sand Mining,5.02,2024-04-05,,EDS,0,0.11
Mahanadi Sand Works,Raigarh,Industrial Plant,13.82,2024-11-02,,Referred,0,0.68
Riverbed Minerals Pvt,Kanker,Infrastructure,5.81,2023-06-20,,Under Scrutiny,0,0.49
Chhattisgarh Infra Group,Raigarh,Brick Kiln,5.86,2023-12-16,,EDS,3,0.81
Durg Construction Pvt Ltd,Raipur,Infrastructure,9.33,2023-01-20,,EDS,0,0.14
EcoStone Extractors,Durg,Brick Kiln,13.84,2024-10-31,,Under Scrutiny,0,0.43
EcoStone Extractors,Bilaspur,Limestone Quarry,7.5,2023-10-02,,Under Scrutiny,1,0.66
Durg Construction Pvt Ltd,Durg,Industrial Plant,9.49,2024-05-24,,MoM Generated,0,0.87
Central India Mining Co,Rajnandgaon,Infrastructure,7.12,2024-07-04,,Referred,1,0.69
Shiv Brick Industries,Bilaspur,Limestone Quarry,13.89,2023-04-14,,Rejected,1,0.79
Shiv Brick Industries,Rajnandgaon,Industrial Plant,9.1,2023-03-21,,EDS,1,0.77
Shakti Infra Projects,Jagdalpur,Brick Kiln,8.24,2023-10-16,,Rejected,2,0.25
Durg Construction Pvt Ltd,Bilaspur,Limestone Quarry,10.36,2023-08-15,,Referred,3,0.82
EcoStone Extractors,Bilaspur,Industrial Plant,11.53,2024-05-09,,Referred,3,0.28
Chhattisgarh Infra Group,Bilaspur,Limestone Quarry,6.66,2024-04-26,,Referred,3,0.27
ABC Mining Ltd,Jagdalpur,Infrastructure,13.62,2023-07-12,,MoM Generated,3,0.52
EcoBuild Developers,Raigarh,Brick Kiln,5.18,2024-03-17,,EDS,0,0.51
Chhattisgarh Infra Group,Raipur,Limestone Quarry,13.61,2024-09-02,2024-12-17,Approved,2,0.22
Korba Limestone Corp,Raigarh,Industrial Plant,12.38,2024-02-03,,Referred,0,0.66
Riverbed Minerals Pvt,Durg,Limestone Quarry,12.77,2024-06-21,,Under Scrutiny,0,0.34
EcoStone Extractors,Korba,Limestone Quarry,4.27,2023-01-16,,Under Scrutiny,0,0.74
Sunrise Quarry Co,Jagdalpur,Limestone Quarry,11.63,2024-04-14,,Under Scrutiny,0,0.6
Sunrise Quarry Co,Durg,Brick Kiln,2.43,2023-12-22,,Rejected,0,0.13
Sunrise Quarry Co,Durg,Industrial Plant,7.97,2023-07-13,,Rejected,3,0.64
Green Earth Infrastructure,Rajnandgaon,Limestone Quarry,8.87,2024-11-09,,Referred,2,0.72
Sunrise Quarry Co,Jagdalpur,Brick Kiln,8.35,2023-03-22,,Referred,1,0.21
Central India Mining Co,Jagdalpur,Brick Kiln,10.87,2023-02-19,2023-06-11,Approved,0,0.48
ABC Mining Ltd,Ambikapur,Brick Kiln,12.64,2023-10-29,,MoM Generated,1,0.47
Central India Mining Co,Ambikapur,Industrial Plant,7.89,2024-11-22,2025-01-06,Approved,3,0.11
Shakti Infra Projects,Korba,Sand Mining,4.6,2023-03-28,,EDS,1,0.51
Shiv Brick Industries,Raipur,Brick Kiln,6.81,2023-02-09,,MoM Generated,0,0.15
Raigarh Aggregates,Durg,Infrastructure,2.57,2024-04-04,,Referred,0,0.45
Sunrise Quarry Co,Kanker,Limestone Quarry,13.92,2023-03-12,,Rejected,3,0.61
Green Earth Infrastructure,Ambikapur,Brick Kiln,14.97,2024-04-12,,Referred,2,0.64
Shiv Brick Industries,Raigarh,Limestone Quarry,6.93,2023-08-12,,EDS,1,0.15
EcoStone Extractors,Raipur,Infrastructure,3.62,2024-04-02,,MoM Generated,0,0.78
Green Earth Infrastructure,Jagdalpur,Sand Mining,6.46,2024-01-15,,MoM Generated,0,0.61
Bastar Natural Resources,Raigarh,Sand Mining,10.86,2023-08-07,,Rejected,1,0.14
EcoStone Extractors,Raigarh,Infrastructure,3.91,2024-11-24,,Rejected,3,0.12
Raigarh Aggregates,Ambikapur,Limestone Quarry,3.01,2023-05-23,,MoM Generated,2,0.35
Durg Construction Pvt Ltd,Rajnandgaon,Sand Mining,13.92,2024-03-22,2024-06-20,Approved,1,0.73
Korba Limestone Corp,Durg,Industrial Plant,7.08,2023-03-14,,Under Scrutiny,2,0.37
Green Earth Infrastructure,Durg,Brick Kiln,12.2,2023-01-11,,Referred,3,0.34
Bastar Natural Resources,Jagdalpur,Industrial Plant,5.64,2024-09-23,2025-01-21,Approved,3,0.51
Raigarh Aggregates,Durg,Brick Kiln,14.36,2023-04-04,,MoM Generated,2,0.43
Mahanadi Sand Works,Raipur,Brick Kiln,3.63,2023-02-04,2023-02-26,Approved,1,0.81
EcoStone Extractors,Durg,Brick Kiln,4.21,2023-07-18,,Rejected,2,0.28
Shiv Brick Industries,Jagdalpur,Sand Mining,14.17,2023-03-04,2023-06-28,Approved,1,0.77
Chhattisgarh Infra Group,Durg,Industrial Plant,5.14,2023-02-04,,EDS,0,0.58
Korba Limestone Corp,Kanker,Limestone Quarry,3.32,2023-02-08,,EDS,2,0.2
Riverbed Minerals Pvt,Bilaspur,Limestone Quarry,3.18,2024-03-24,2024-05-17,Approved,1,0.12
EcoStone Extractors,Raipur,Brick Kiln,3.27,2023-06-11,,EDS,2,0.73
EcoStone Extractors,Durg,Industrial Plant,13.58,2023-04-21,,EDS,2,0.87
Raigarh Aggregates,Korba,Limestone Quarry,6.29,2024-05-31,,Rejected,0,0.72
EcoBuild Developers,Kanker,Sand Mining,12.56,2024-07-21,,Rejected,1,0.25
Shiv Brick Industries,Rajnandgaon,Infrastructure,3.08,2024-07-20,,MoM Generated,1,0.11
Green Earth Infrastructure,Durg,Infrastructure,8.67,2023-08-27,,EDS,0,0.1
Sunrise Quarry Co,Korba,Sand Mining,14.42,2024-09-26,,Referred,1,0.72
EcoStone Extractors,Rajnandgaon,Infrastructure,13.74,2024-05-29,,Rejected,1,0.21
Bastar Natural Resources,Durg,Industrial Plant,4.78,2024-07-20,,EDS,3,0.77
Bastar Natural Resources,Korba,Infrastructure,6.31,2023-02-10,,EDS,2,0.37
Riverbed Minerals Pvt,Raigarh,Brick Kiln,10.9,2024-07-05,,EDS,0,0.35
EcoStone Extractors,Raipur,Brick Kiln,12.13,2024-07-07,,EDS,1,0.26
Durg Construction Pvt Ltd,Durg,Infrastructure,7.48,2023-01-04,,Under Scrutiny,0,0.86
Sunrise Quarry Co,Jagdalpur,Brick Kiln,14.44,2024-02-04,,Under Scrutiny,0,0.8
Durg Construction Pvt Ltd,Korba,Infrastructure,11.71,2023-06-26,,Referred,2,0.18
Sunrise Quarry Co,Raigarh,Infrastructure,11.17,2023-09-22,2023-12-01,Approved,3,0.41
Shiv Brick Industries,Rajnandgaon,Infrastructure,6.22,2024-01-01,,EDS,0,0.63
Shakti Infra Projects,Kanker,Sand Mining,10.35,2023-04-28,,MoM Generated,2,0.55
Mahanadi Sand Works,Jagdalpur,Infrastructure,10.17,2023-05-25,,MoM Generated,1,0.58
Shiv Brick Industries,Raipur,Limestone Quarry,1.72,2023-01-02,,EDS,1,0.37
Bastar Natural Resources,Raigarh,Sand Mining,10.37,2023-06-25,,EDS,1,0.79
ABC Mining Ltd,Raipur,Brick Kiln,1.98,2023-07-08,,Referred,0,0.62
Raigarh Aggregates,Raigarh,Limestone Quarry,8.94,2024-11-15,,MoM Generated,3,0.38
EcoStone Extractors,Ambikapur,Industrial Plant,6.93,2023-04-15,,Referred,1,0.1
Shiv Brick Industries,Raipur,Infrastructure,5.31,2024-01-14,2024-05-07,Approved,3,0.79
Central India Mining Co,Durg,Brick Kiln,14.29,2024-07-07,,Referred,3,0.22
Raigarh Aggregates,Durg,Industrial Plant,7.22,2023-05-27,,Under Scrutiny,1,0.38
Green Earth Infrastructure,Raipur,Brick Kiln,8.81,2023-09-19,,Referred,1,0.27
Riverbed Minerals Pvt,Raigarh,Industrial Plant,9.51,2023-02-03,,MoM Generated,3,0.18
Chhattisgarh Infra Group,Kanker,Industrial Plant,10.2,2023-06-23,2023-08-16,Approved,0,0.31
Shiv Brick Industries,Jagdalpur,Infrastructure,2.22,2024-07-29,,MoM Generated,1,0.58
Chhattisgarh Infra Group,Kanker,Sand Mining,10.12,2023-02-20,2023-05-30,Approved,0,0.7
EcoStone Extractors,Kanker,Limestone Quarry,10.76,2024-08-26,,MoM Generated,3,0.39
Sunrise Quarry Co,Durg,Infrastructure,8.3,2024-06-02,,Under Scrutiny,1,0.17
Shakti Infra Projects,Ambikapur,Sand Mining,12.42,2023-07-31,,Rejected,2,0.2
Central India Mining Co,Rajnandgaon,Infrastructure,7.55,2024-05-12,,MoM Generated,0,0.15
EcoStone Extractors,Korba,Industrial Plant,12.76,2024-05-06,,Under Scrutiny,3,0.42
EcoStone Extractors,Durg,Limestone Quarry,5.63,2023-09-14,,Rejected,1,0.67
Mahanadi Sand Works,Jagdalpur,Brick Kiln,8.65,2023-07-20,,MoM Generated,2,0.7
EcoBuild Developers,Durg,Sand Mining,12.69,2023-05-28,,MoM Generated,3,0.69
Shakti Infra Projects,Durg,Limestone Quarry,4.32,2023-12-21,,Rejected,3,0.35
Central India Mining Co,Rajnandgaon,Sand Mining,9.06,2024-03-19,2024-06-06,Approved,1,0.33
Sunrise Quarry Co,Rajnandgaon,Infrastructure,14.65,2024-02-22,,Referred,2,0.18
Green Earth Infrastructure,Raigarh,Sand Mining,7.23,2023-05-01,,Under Scrutiny,3,0.49
Riverbed Minerals Pvt,Raigarh,Limestone Quarry,9.09,2023-08-11,,Rejected,3,0.6
Chhattisgarh Infra Group,Bilaspur,Infrastructure,8.77,2024-02-08,,Rejected,2,0.37
Shakti Infra Projects,Raipur,Infrastructure,6.47,2024-08-14,,Under Scrutiny,2,0.56
EcoStone Extractors,Bilaspur,Sand Mining,8.96,2023-09-27,2023-11-30,Approved,0,0.62
Raigarh Aggregates,Bilaspur,Limestone Quarry,6.41,2023-05-09,,Rejected,2,0.3
Green Earth Infrastructure,Korba,Brick Kiln,11.62,2023-12-17,,EDS,0,0.86
Bastar Natural Resources,Raigarh,Sand Mining,3.66,2023-06-15,,Rejected,3,0.32
Chhattisgarh Infra Group,Rajnandgaon,Sand Mining,13.7,2023-02-22,,Rejected,3,0.39
Riverbed Minerals Pvt,Raigarh,Brick Kiln,5.85,2024-09-23,,EDS,3,0.81
Raigarh Aggregates,Raipur,Limestone Quarry,10.58,2023-09-20,,Rejected,0,0.79
Bastar Natural Resources,Bilaspur,Industrial Plant,1.66,2024-02-19,,Referred,1,0.71
Durg Construction Pvt Ltd,Jagdalpur,Infrastructure,10.28,2023-03-15,,MoM Generated,0,0.33
Mahanadi Sand Works,Raipur,Sand Mining,14.0,2024-05-30,,Under Scrutiny,1,0.26
EcoStone Extractors,Raipur,Infrastructure,3.24,2023-08-18,,Referred,1,0.24
