proponent_agency,project_location,project_type,area_hectare,submission_date,approval_date,approval_status,eds_count,environmental_risk_score
Green Earth Infrastructure,Kanker,Brick Kiln,12.07,2024-09-11,,EDS,0,0.51
EcoStone Extractors,Korba,Limestone Quarry,14.33,2024-06-30,,Under Scrutiny,1,0.28
Central India Mining Co,Bilaspur,Limestone Quarry,11.04,2023-10-18,,Referred,1,0.59
Sunrise Quarry Co,Jagdalpur,Limestone Quarry,5.59,2023-08-25,,MoM Generated,2,0.12
ABC Mining Ltd,Jagdalpur,Infrastructure,12.4,2023-04-01,,EDS,1,0.83
Central India Mining Co,Rajnandgaon,Brick Kiln,14.99,2024-03-13,2024-04-17,Approved,1,0.61
ABC Mining Ltd,Raigarh,Sand Mining,3.04,2023-08-15,2023-10-09,Approved,1,0.43
Bastar Natural Resources,Kanker,Infrastructure,9.46,2024-08-01,,EDS,1,0.19
Bastar Natural Resources,Kanker,Limestone Quarry,11.14,2024-08-04,,MoM Generated,2,0.7
EcoStone Extractors,Rajnandgaon,Brick Kiln,8.1,2023-12-30,,EDS,1,0.46
Chhattisgarh Infra Group,Rajnandgaon,Infrastructure,4.54,2023-05-27,,MoM Generated,0,0.53
Bastar Natural Resources,Kanker,Brick Kiln,10.46,2024-06-10,,MoM Generated,0,0.56
Bastar Natural Resources,Korba,Brick Kiln,10.46,2024-08-14,,Under Scrutiny,0,0.86
Sunrise Quarry Co,Raipur,Brick Kiln,13.77,2023-09-01,,Under Scrutiny,2,0.11
Chhattisgarh Infra Group,Jagdalpur,Limestone Quarry,3.43,2024-10-01,,Referred,3,0.62
EcoBuild Developers,Bilaspur,Industrial Plant,12.78,2024-11-11,,Referred,3,0.16
Durg Construction Pvt Ltd,Ambikapur,Sand Mining,10.66,2023-08-02,,Under Scrutiny,3,0.28
Bastar Natural Resources,Rajnandgaon,Limestone Quarry,5.91,2023-01-27,,EDS,1,0.36
Raigarh Aggregates,Ambikapur,Limestone Quarry,10.57,2023-04-27,,EDS,2,0.72
EcoStone Extractors,Raipur,Brick Kiln,3.98,2024-07-31,,EDS,3,0.86
Central India Mining Co,Rajnandgaon,Infrastructure,4.37,2024-05-10,,Referred,0,0.36
Shiv Brick Industries,Bilaspur,Industrial Plant,11.42,2023-08-13,2023-10-06,Approved,2,0.86
Korba Limestone Corp,Jagdalpur,Industrial Plant,5.81,2023-09-09,2023-11-08,Approved,2,0.23
Bastar Natural Resources,Raigarh,Limestone Quarry,2.92,2024-10-03,,Referred,0,0.46
Durg Construction Pvt Ltd,Bilaspur,Infrastructure,8.69,2024-10-22,,MoM Generated,3,0.72
Shiv Brick Industries,Ambikapur,Infrastructure,3.38,2024-04-17,,EDS,0,0.38
EcoBuild Developers,Ambikapur,Industrial Plant,2.38,2024-09-28,2024-10-29,Approved,1,0.41
Mahanadi Sand Works,Jagdalpur,Brick Kiln,5.94,2023-05-02,,Rejected,2,0.31
Chhattisgarh Infra Group,Korba,Brick Kiln,9.93,2023-05-14,,MoM Generated,0,0.52
Chhattisgarh Infra Group,Ambikapur,Sand Mining,14.38,2023-11-05,,Rejected,3,0.54
Riverbed Minerals Pvt,Rajnandgaon,Limestone Quarry,14.98,2024-11-19,,Rejected,3,0.28
Bastar Natural Resources,Durg,Brick Kiln,10.9,2023-04-05,,Rejected,1,0.68
Sunrise Quarry Co,Rajnandgaon,Sand Mining,5.1,2023-09-25,,Under Scrutiny,1,0.33
Chhattisgarh Infra Group,Raigarh,Limestone Quarry,13.56,2023-07-20,2023-09-26,Approved,1,0.4
Riverbed Minerals Pvt,Ambikapur,Infrastructure,1.91,2024-01-20,,MoM Generated,3,0.88
EcoStone Extractors,Kanker,Infrastructure,12.31,2023-01-13,,Rejected,0,0.82
Chhattisgarh Infra Group,Ambikapur,Industrial Plant,13.46,2023-04-28,,MoM Generated,0,0.37
Mahanadi Sand Works,Raipur,Infrastructure,7.14,2023-12-02,2024-02-14,Approved,2,0.78
EcoBuild Developers,Durg,Infrastructure,11.9,2023-09-04,,MoM Generated,2,0.35
Shiv Brick Industries,Kanker,Sand Mining,3.88,2024-10-11,,EDS,2,0.3
EcoStone Extractors,Ambikapur,Infrastructure,7.07,2024-08-04,,MoM Generated,2,0.75
Shiv Brick Industries,Raigarh,Industrial Plant,7.14,2023-02-12,,Referred,3,0.24
Raigarh Aggregates,Durg,Brick Kiln,2.25,2024-05-21,,MoM Generated,3,0.69
Korba Limestone Corp,Rajnandgaon,Brick Kiln,11.96,2023-10-21,,Referred,2,0.2
Bastar Natural Resources,Jagdalpur,Infrastructure,12.64,2024-06-23,,Rejected,1,0.48
EcoStone Extractors,Kanker,Industrial Plant,13.9,2023-09-24,,Referred,0,0.67
EcoStone Extractors,Jagdalpur,Infrastructure,14.91,2023-08-04,,Under Scrutiny,2,0.31
EcoBuild Developers,Korba,Infrastructure,10.42,2023-01-25,2023-05-04,Approved,1,0.6
Chhattisgarh Infra Group,Rajnandgaon,Brick Kiln,5.01,2023-05-09,,Rejected,1,0.52
Chhattisgarh Infra Group,Kanker,Limestone Quarry,6.61,2023-09-03,,MoM Generated,0,0.3
Central India Mining Co,Ambikapur,Brick Kiln,2.01,2024-03-20,,Rejected,0,0.84
Shiv Brick Industries,Korba,Infrastructure,6.6,2023-12-21,,MoM Generated,3,0.51
Chhattisgarh Infra Group,Bilaspur,Sand Mining,3.32,2024-09-08,,Rejected,0,0.81
Mahanadi Sand Works,Jagdalpur,Brick Kiln,8.08,2024-09-01,,MoM Generated,2,0.48
Mahanadi Sand Works,Ambikapur,Industrial Plant,5.15,2023-08-10,2023-10-30,Approved,3,0.86
Sunrise Quarry Co,Kanker,Infrastructure,4.41,2023-01-14,,Under Scrutiny,0,0.81
Riverbed Minerals Pvt,Rajnandgaon,Brick Kiln,12.49,2023-01-24,,MoM Generated,2,0.41
Raigarh Aggregates,Korba,Industrial Plant,11.7,2023-04-03,,Under Scrutiny,1,0.46
Chhattisgarh Infra Group,Bilaspur,Infrastructure,8.14,2024-10-21,2025-02-06,Approved,0,0.26
Korba Limestone Corp,Kanker,Limestone Quarry,10.61,2023-07-06,,Rejected,1,0.75
EcoBuild Developers,Bilaspur,Brick Kiln,8.52,2024-08-26,2024-09-17,Approved,0,0.45
Shakti Infra Projects,Kanker,Brick Kiln,8.37,2023-05-03,,MoM Generated,0,0.69
Korba Limestone Corp,Raigarh,Industrial Plant,4.27,2024-02-16,2024-04-21,Approved,1,0.62
Green Earth Infrastructure,Raigarh,Industrial Plant,14.6,2023-06-15,,Under Scrutiny,1,0.59
ABC Mining Ltd,Raipur,Limestone Quarry,10.17,2023-10-21,,Rejected,1,0.42
Sunrise Quarry Co,Raigarh,Sand Mining,11.66,2023-03-30,,Under Scrutiny,0,0.16
Raigarh Aggregates,Jagdalpur,Industrial Plant,13.59,2023-10-13,,MoM Generated,0,0.52
Riverbed Minerals Pvt,Raigarh,Brick Kiln,1.63,2024-07-20,,MoM Generated,1,0.5
Shakti Infra Projects,Bilaspur,Industrial Plant,4.59,2023-08-01,,MoM Generated,3,0.41
Korba Limestone Corp,Raigarh,Industrial Plant,11.75,2024-06-22,,Rejected,3,0.83
Central India Mining Co,Raipur,Limestone Quarry,5.87,2023-10-03,2023-11-30,Approved,3,0.74
Chhattisgarh Infra Group,Jagdalpur,Limestone Quarry,7.53,2024-08-07,,MoM Generated,0,0.64
Shiv Brick Industries,Kanker,Sand Mining,1.03,2023-09-20,,MoM Generated,2,0.21
Shiv Brick Industries,Bilaspur,Infrastructure,3.87,2024-06-12,,Referred,3,0.17
Sunrise Quarry Co,Rajnandgaon,Infrastructure,5.65,2024-07-27,2024-08-24,Approved,0,0.4
Raigarh Aggregates,Rajnandgaon,Industrial Plant,7.09,2024-08-21,,Under Scrutiny,1,0.7
Shakti Infra Projects,Kanker,Industrial Plant,13.74,2023-08-29,,Referred,0,0.13
Shakti Infra Projects,Bilaspur,Limestone Quarry,2.0,2024-07-25,,MoM Generated,1,0.5
Bastar Natural Resources,Jagdalpur,Limestone Quarry,8.68,2023-07-20,,EDS,3,0.38
Central India Mining Co,Jagdalpur,Limestone Quarry,4.82,2024-09-25,,Under Scrutiny,2,0.27
Shakti Infra Projects,Raigarh,Brick Kiln,2.82,2024-02-07,,EDS,2,0.58
Korba Limestone Corp,Korba,Brick Kiln,9.16,2023-01-11,,MoM Generated,1,0.16
Korba Limestone Corp,Bilaspur,Infrastructure,8.48,2024-06-05,,Rejected,3,0.25
Mahanadi Sand Works,Jagdalpur,Infrastructure,11.26,2024-09-21,,MoM Generated,1,0.52
Mahanadi Sand Works,Kanker,Industrial Plant,14.38,2023-12-29,,Under Scrutiny,1,0.77
Sunrise Quarry Co,Raigarh,Industrial Plant,5.68,2023-03-14,,EDS,3,0.9
Shakti Infra Projects,Bilaspur,Brick Kiln,11.87,2023-07-29,2023-10-18,Approved,2,0.4
EcoStone Extractors,Bilaspur,Brick Kiln,11.55,2024-10-06,,Referred,3,0.77
Sunrise Quarry Co,Rajnandgaon,Limestone Quarry,6.25,2023-05-29,2023-07-17,Approved,2,0.31
Green Earth Infrastructure,Raigarh,Brick Kiln,9.83,2024-08-18,,Referred,3,0.15
Shakti Infra Projects,Kanker,Industrial Plant,12.67,2024-10-06,,Referred,0,0.63
EcoBuild Developers,Raipur,Brick Kiln,6.14,2024-05-22,,EDS,2,0.17
Central India Mining Co,Raigarh,Sand Mining,1.46,2024-04-20,,EDS,0,0.37
EcoBuild Developers,Raigarh,Sand Mining,9.67,2023-09-17,,Under Scrutiny,3,0.7
Korba Limestone Corp,Jagdalpur,Industrial Plant,12.26,2023-12-04,,Referred,2,0.79
ABC Mining Ltd,Rajnandgaon,Industrial Plant,2.35,2024-07-05,,EDS,0,0.45
Raigarh Aggregates,Jagdalpur,Brick Kiln,1.05,2023-01-12,,Rejected,0,0.67
EcoBuild Developers,Raigarh,Brick Kiln,1.56,2024-04-27,,MoM Generated,0,0.75
ABC Mining Ltd,Kanker,Sand Mining,3.11,2023-07-04,,Rejected,0,0.76
ABC Mining Ltd,Durg,Sand Mining,7.11,2024-08-12,,Rejected,3,0.12
Shiv Brick Industries,Kanker,Industrial Plant,5.22,2023-03-30,2023-07-23,Approved,2,0.17
Riverbed Minerals Pvt,Rajnandgaon,Industrial Plant,13.78,2023-11-29,,MoM Generated,0,0.11
EcoStone Extractors,Raipur,Brick Kiln,5.52,2024-05-14,,MoM Generated,3,0.8
Shakti Infra Projects,Ambikapur,Sand Mining,6.86,2023-04-21,,MoM Generated,3,0.61
EcoStone Extractors,Durg,Industrial Plant,1.31,2023-07-29,,MoM Generated,0,0.43
Green Earth Infrastructure,Raipur,Limestone Quarry,3.57,2023-06-12,2023-08-14,Approved,3,0.29
Raigarh Aggregates,Kanker,Sand Mining,5.77,2023-07-11,,MoM Generated,2,0.49
Raigarh Aggregates,Rajnandgaon,Industrial Plant,5.89,2024-07-22,2024-08-20,Approved,3,0.84
Central India Mining Co,Bilaspur,Brick Kiln,6.9,2024-11-27,,Rejected,2,0.62
Riverbed Minerals Pvt,Jagdalpur,Brick Kiln,10.55,2024-03-04,,Under Scrutiny,1,0.28
Riverbed Minerals Pvt,Raipur,Sand Mining,2.79,2023-10-24,,Rejected,0,0.85
Sunrise Quarry Co,Kanker,Brick Kiln,10.44,2024-07-12,,Referred,2,0.53
Sunrise Quarry Co,Kanker,Limestone Quarry,9.53,2023-06-08,,Under Scrutiny,1,0.89
Shiv Brick Industries,Bilaspur,Limestone Quarry,4.32,2024-04-11,,EDS,3,0.3
Green Earth Infrastructure,Durg,Sand Mining,13.1,2023-03-25,,MoM Generated,2,0.49
Shiv Brick Industries,Durg,Infrastructure,5.05,2023-12-09,,Under Scrutiny,0,0.31
Mahanadi Sand Works,Korba,Industrial Plant,5.79,2024-02-14,,MoM Generated,2,0.72
Mahanadi Sand Works,Jagdalpur,Industrial Plant,8.46,2023-01-04,,EDS,1,0.87
Korba Limestone Corp,Jagdalpur,Infrastructure,6.38,2024-10-26,,EDS,2,0.85
Central India Mining Co,Kanker,Limestone Quarry,9.11,2024-01-29,,EDS,0,0.67
Riverbed Minerals Pvt,Jagdalpur,Sand Mining,9.73,2023-06-14,,MoM Generated,0,0.22
Bastar Natural Resources,Rajnandgaon,Limestone Quarry,3.51,2023-06-13,,Referred,3,0.83
Shiv Brick Industries,Kanker,Industrial Plant,8.77,2024-03-29,,Rejected,0,0.2
Sunrise Quarry Co,Jagdalpur,Limestone Quarry,1.48,2024-08-18,,Referred,0,0.51
EcoBuild Developers,Ambikapur,Infrastructure,7.45,2023-10-20,,Referred,0,0.25
EcoBuild Developers,Raigarh,Sand Mining,8.65,2023-03-31,,EDS,2,0.35
Chhattisgarh Infra Group,Ambikapur,Infrastructure,11.41,2024-03-14,2024-04-12,Approved,2,0.9
Mahanadi Sand Works,Ambikapur,Limestone Quarry,13.13,2024-07-22,,Referred,1,0.32
Green Earth Infrastructure,Korba,Sand Mining,12.78,2023-12-23,,Rejected,0,0.3
Bastar Natural Resources,Jagdalpur,Limestone Quarry,11.32,2024-04-22,2024-08-12,Approved,3,0.25
Shakti Infra Projects,Bilaspur,Brick Kiln,8.28,2023-12-17,,Under Scrutiny,3,0.83
Chhattisgarh Infra Group,Ambikapur,Limestone Quarry,3.89,2024-09-29,,Under Scrutiny,1,0.27
Central India Mining Co,Raigarh,Sand Mining,4.17,2024-02-16,,EDS,1,0.84
Central India Mining Co,Jagdalpur,Industrial Plant,12.2,2023-06-01,,MoM Generated,2,0.88
Korba Limestone Corp,Durg,Industrial Plant,2.53,2024-05-01,,EDS,3,0.23
Riverbed Minerals Pvt,Jagdalpur,Limestone Quarry,14.18,2024-06-20,2024-09-27,Approved,2,0.2
Durg Construction Pvt Ltd,Ambikapur,Infrastructure,10.27,2023-09-26,,MoM Generated,0,0.14
Korba Limestone Corp,Bilaspur,Limestone Quarry,6.58,2023-03-04,2023-06-06,Approved,1,0.9
EcoBuild Developers,Raigarh,Brick Kiln,6.09,2024-10-28,,Rejected,3,0.52
Riverbed Minerals Pvt,Jagdalpur,Limestone Quarry,11.34,2024-07-12,,Rejected,2,0.75
Bastar Natural Resources,Rajnandgaon,Infrastructure,6.01,2023-07-18,,Under Scrutiny,0,0.42
Shakti Infra Projects,Ambikapur,Industrial Plant,5.37,2023-04-10,,Referred,2,0.34
Shakti Infra Projects,Korba,Sand Mining,14.13,2023-04-03,,Rejected,1,0.28
Green Earth Infrastructure,Ambikapur,Industrial Plant,8.39,2024-08-18,2024-09-11,Approved,3,0.14
Green Earth Infrastructure,Raigarh,Industrial Plant,12.67,2023-04-13,,Referred,0,0.41
Raigarh Aggregates,Bilaspur,Infrastructure,3.27,2024-04-02,,Referred,1,0.22
ABC Mining Ltd,Durg,Limestone Quarry,7.43,2024-04-01,,Under Scrutiny,3,0.26
Bastar Natural Resources,Bilaspur,Limestone Quarry,4.61,2023-04-25,2023-06-25,Approved,3,0.38
ABC Mining Ltd,Korba,Brick Kiln,4.93,2024-08-24,2024-11-15,Approved,3,0.84
EcoBuild Developers,Kanker,Infrastructure,5.01,2024-07-07,,Under Scrutiny,2,0.79
Mahanadi Sand Works,Kanker,Industrial Plant,13.56,2024-02-20,2024-03-09,Approved,2,0.19
Shakti Infra Projects,Kanker,Infrastructure,1.53,2024-04-06,2024-04-30,Approved,0,0.33
Riverbed Minerals Pvt,Durg,Brick Kiln,11.31,2023-10-23,,Under Scrutiny,2,0.61
Riverbed Minerals Pvt,Raipur,Limestone Quarry,14.75,2024-10-19,,Under Scrutiny,3,0.67
EcoBuild Developers,Ambikapur,Brick Kiln,8.14,2023-04-21,,Referred,3,0.5
Durg Construction Pvt Ltd,Raipur,Industrial Plant,6.66,2024-04-16,,MoM Generated,2,0.47
ABC Mining Ltd,Bilaspur,Sand Mining,11.24,2023-05-13,,EDS,3,0.79
Durg Construction Pvt Ltd,Raigarh,Limestone Quarry,4.37,2024-11-01,,Rejected,2,0.15
Riverbed Minerals Pvt,Korba,Industrial Plant,6.46,2024-10-13,,EDS,3,0.67
Green Earth Infrastructure,Rajnandgaon,Industrial Plant,11.58,2024-02-10,,Rejected,3,0.24
Sunrise Quarry Co,Raigarh,Industrial Plant,12.98,2023-10-06,,MoM Generated,3,0.52
Korba Limestone Corp,Raigarh,Infrastructure,3.59,2023-02-21,,Under Scrutiny,0,0.88
Mahanadi Sand Works,Ambikapur,Brick Kiln,2.08,2023-03-27,2023-07-04,Approved,1,0.15
EcoStone Extractors,Korba,Infrastructure,7.57,2024-10-08,,Under Scrutiny,1,0.47
EcoStone Extractors,Raipur,Sand Mining,1.75,2023-11-13,2024-01-18,Approved,0,0.75
Bastar Natural Resources,Raipur,Infrastructure,2.37,2023-10-26,,Rejected,2,0.27
Green Earth Infrastructure,Raipur,Sand Mining,8.99,2023-12-17,,Referred,2,0.37
EcoBuild Developers,Korba,Infrastructure,4.91,2024-01-12,2024-04-04,Approved,2,0.59
Central India Mining Co,Korba,Infrastructure,12.48,2023-03-12,,Under Scrutiny,0,0.71
Shakti Infra Projects,Korba,Infrastructure,6.71,2023-08-04,,EDS,0,0.69
ABC Mining Ltd,Ambikapur,Infrastructure,12.0,2024-04-23,,EDS,3,0.6
Durg Construction Pvt Ltd,Raipur,Brick Kiln,11.64,2023-09-26,,EDS,3,0.53
EcoBuild Developers,Ambikapur,Infrastructure,11.25,2023-09-12,,EDS,3,0.27
Sunrise Quarry Co,Rajnandgaon,Limestone Quarry,4.16,2023-09-13,,EDS,2,0.89
EcoBuild Developers,Raigarh,Brick Kiln,2.77,2024-05-09,,MoM Generated,1,0.88
Shiv Brick Industries,Rajnandgaon,Infrastructure,11.77,2023-11-08,,EDS,1,0.3
ABC Mining Ltd,Raigarh,Limestone Quarry,13.17,2024-10-09,,Under Scrutiny,3,0.73
Korba Limestone Corp,Durg,Sand Mining,10.12,2024-04-12,2024-06-14,Approved,0,0.87
Riverbed Minerals Pvt,Raipur,Sand Mining,12.28,2023-06-08,,EDS,0,0.59
Riverbed Minerals Pvt,Durg,Limestone Quarry,2.5,2024-01-13,,EDS,2,0.36
Bastar Natural Resources,Korba,Brick Kiln,7.3,2024-08-12,,EDS,2,0.53
Durg Construction Pvt Ltd,Jagdalpur,Infrastructure,4.68,2023-12-31,,Rejected,3,0.76
Korba Limestone Corp,Durg,Sand Mining,14.74,2023-04-12,,Referred,2,0.27
Shakti Infra Projects,Bilaspur,Brick Kiln,13.52,2024-02-13,2024-05-27,Approved,3,0.65
Green Earth Infrastructure,Raigarh,Infrastructure,14.3,2024-07-05,,Referred,2,0.17
Shakti Infra Projects,Raigarh,Limestone Quarry,8.21,2023-04-08,,Rejected,3,0.13
Bastar Natural Resources,Rajnandgaon,Industrial Plant,3.61,2023-05-22,,MoM Generated,0,0.55
Bastar Natural Resources,Ambikapur,Limestone Quarry,9.41,2024-08-28,,Referred,0,0.19
Shakti Infra Projects,Korba,Sand Mining,1.79,2024-04-16,,Referred,1,0.88
Sunrise Quarry Co,Raigarh,Brick Kiln,13.5,2023-07-24,,MoM Generated,2,0.65
Raigarh Aggregates,Kanker,Infrastructure,4.97,2024-06-23,,Referred,3,0.49
Riverbed Minerals Pvt,Ambikapur,Industrial Plant,5.28,2023-05-07,,EDS,2,0.72
Mahanadi Sand Works,Bilaspur,Limestone Quarry,14.53,2024-08-13,,Under Scrutiny,2,0.35
Durg Construction Pvt Ltd,Rajnandgaon,Infrastructure,4.34,2023-11-10,2023-12-04,Approved,0,0.72
Shiv Brick Industries,Jagdalpur,Brick Kiln,12.77,2024-09-10,,EDS,2,0.15
Riverbed Minerals Pvt,Kanker,Sand Mining,7.73,2024-03-18,,Referred,2,0.43
Green Earth Infrastructure,Rajnandgaon,Sand Mining,6.03,2023-11-05,,Referred,0,0.67
ABC Mining Ltd,Korba,Sand Mining,9.05,2023-01-21,,Rejected,3,0.71
Sunrise Quarry Co,Korba,Industrial Plant,10.91,2023-08-12,,MoM Generated,2,0.25
Durg Construction Pvt Ltd,Rajnandgaon,Limestone Quarry,11.44,2024-05-09,2024-06-16,Approved,0,0.25
Chhattisgarh Infra Group,Bilaspur,Sand Mining,5.52,2023-09-24,2024-01-04,Approved,0,0.13
ABC Mining Ltd,Raigarh,Infrastructure,4.86,2024-01-12,,MoM Generated,3,0.88
Green Earth Infrastructure,Jagdalpur,Sand Mining,12.1,2024-06-18,,EDS,3,0.26
Raigarh Aggregates,Ambikapur,Industrial Plant,4.44,2024-07-25,,EDS,0,0.27
Raigarh Aggregates,Raipur,Brick Kiln,14.5,2024-07-17,,Referred,0,0.64
EcoStone Extractors,Kanker,Sand Mining,8.37,2023-06-23,,MoM Generated,1,0.62
Mahanadi Sand Works,Bilaspur,Limestone Quarry,9.1,2024-04-16,2024-07-25,Approved,1,0.85
Chhattisgarh Infra Group,Raigarh,Brick Kiln,9.16,2024-11-03,,Referred,0,0.5
ABC Mining Ltd,Bilaspur,Sand Mining,13.36,2023-09-05,,Under Scrutiny,3,0.84
EcoBuild Developers,Kanker,Industrial Plant,5.85,2023-12-13,,Rejected,1,0.34
ABC Mining Ltd,Rajnandgaon,Limestone Quarry,4.92,2023-02-24,,MoM Generated,3,0.74
Sunrise Quarry Co,Raipur,Brick Kiln,11.37,2024-05-27,,MoM Generated,3,0.15
EcoStone Extractors,Rajnandgaon,Infrastructure,13.42,2023-03-29,,Rejected,1,0.47
Shakti Infra Projects,Jagdalpur,Sand Mining,1.95,2023-01-12,,Rejected,1,0.87
Bastar Natural Resources,Kanker,Sand Mining,5.99,2024-08-24,,MoM Generated,0,0.55
Raigarh Aggregates,Jagdalpur,Brick Kiln,12.22,2023-04-25,2023-07-09,Approved,3,0.82
Riverbed Minerals Pvt,Korba,Sand Mining,13.03,2024-06-13,,EDS,1,0.2
Bastar Natural Resources,Durg,Brick Kiln,9.8,2023-07-26,,Rejected,0,0.5
Durg Construction Pvt Ltd,Durg,Limestone Quarry,13.74,2023-08-09,,Referred,0,0.16
Mahanadi Sand Works,Raigarh,Industrial Plant,4.59,2024-09-12,,Referred,1,0.28
Central India Mining Co,Raigarh,Industrial Plant,5.32,2023-03-23,,EDS,0,0.11
Korba Limestone Corp,Jagdalpur,Infrastructure,9.96,2023-07-22,,MoM Generated,1,0.51
Sunrise Quarry Co,Rajnandgaon,Limestone Quarry,7.35,2024-03-06,,EDS,3,0.67
Sunrise Quarry Co,Ambikapur,Brick Kiln,6.46,2024-11-12,,Rejected,3,0.45
Central India Mining Co,Korba,Limestone Quarry,5.71,2023-03-15,,EDS,0,0.75
EcoStone Extractors,Jagdalpur,Infrastructure,10.67,2024-04-29,,EDS,3,0.28
Raigarh Aggregates,Jagdalpur,Industrial Plant,7.87,2023-03-15,2023-07-01,Approved,0,0.29
Sunrise Quarry Co,Ambikapur,Infrastructure,4.97,2023-10-07,,Under Scrutiny,0,0.5
Central India Mining Co,Korba,Brick Kiln,7.65,2023-04-30,2023-08-27,Approved,2,0.7
Shiv Brick Industries,Bilaspur,Infrastructure,10.27,2023-09-02,,MoM Generated,2,0.63
Sunrise Quarry Co,Jagdalpur,Brick Kiln,8.63,2024-10-05,,Under Scrutiny,2,0.42
Korba Limestone Corp,Bilaspur,Infrastructure,8.39,2023-12-11,,Referred,3,0.25
Bastar Natural Resources,Korba,Infrastructure,1.93,2024-01-29,,Under Scrutiny,1,0.59
Bastar Natural Resources,Korba,Infrastructure,1.44,2023-10-28,,MoM Generated,3,0.73
Bastar Natural Resources,Durg,Brick Kiln,8.53,2024-11-19,,Referred,3,0.41
Raigarh Aggregates,Jagdalpur,Sand Mining,6.59,2023-08-19,,Referred,2,0.89
Sunrise Quarry Co,Korba,Brick Kiln,3.33,2024-11-07,,MoM Generated,2,0.63
Durg Construction Pvt Ltd,Ambikapur,Sand Mining,10.52,2023-03-31,,EDS,3,0.25
Shiv Brick Industries,Raigarh,Infrastructure,5.47,2024-06-25,,EDS,1,0.15
Durg Construction Pvt Ltd,Jagdalpur,Sand Mining,11.08,2023-10-29,,EDS,0,0.44
Durg Construction Pvt Ltd,Raigarh,Industrial Plant,12.93,2023-03-03,,MoM Generated,1,0.74
Raigarh Aggregates,Rajnandgaon,Limestone Quarry,2.43,2023-11-23,,Rejected,0,0.65
EcoStone Extractors,Korba,Limestone Quarry,10.64,2023-12-03,,MoM Generated,1,0.52
Mahanadi Sand Works,Raigarh,Infrastructure,9.47,2023-10-31,,EDS,3,0.4
Riverbed Minerals Pvt,Durg,Sand Mining,2.28,2023-03-17,,MoM Generated,2,0.36
Mahanadi Sand Works,Kanker,Sand Mining,8.15,2023-04-01,,Rejected,1,0.63
Durg Construction Pvt Ltd,Rajnandgaon,Brick Kiln,8.53,2023-08-03,,EDS,3,0.82
EcoStone Extractors,Jagdalpur,Limestone Quarry,1.69,2024-11-18,,MoM Generated,2,0.49
Central India Mining Co,Rajnandgaon,Infrastructure,2.86,2023-07-14,,EDS,0,0.84
Sunrise Quarry Co,Ambikapur,Limestone Quarry,13.0,2024-03-30,,MoM Generated,3,0.26
Riverbed Minerals Pvt,Durg,Brick Kiln,8.82,2024-11-21,,MoM Generated,2,0.4
